key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
disruptive innovation,disruptive innovation,đổi mới sáng tạo đột phá,đổi mới sáng tạo đột phá,process that significantly impacts the market by making a product or service more affordable and/or accessible often by smaller companies in an industry,"quá trình tác động đáng kể đến thị trường bằng cách làm cho một sản phẩm hoặc dịch vụ trở nên dễ tiếp cận hơn về chi phí và/hoặc khả năng tiếp cận, thường do các công ty nhỏ trong ngành thực hiện","Chương 4, Chương 11",approved,"Source: glossary.md — Chương 4, Chương 11"
empathy,empathy,sự thấu cảm,sự thấu cảm,"human ability to feel what other humans are feeling, which in the context of creativity, innovation, and invention is essential to beginning a process of human-centric design","khả năng của con người trong việc cảm nhận những gì người khác đang cảm nhận, điều này trong bối cảnh sáng tạo, đổi mới và phát minh là yếu tố thiết yếu để bắt đầu quá trình thiết kế lấy con người làm trung tâm",Chương 4,approved,Source: glossary.md — Chương 4
ideation,ideation,hình thành ý tưởng,hình thành ý tưởng,purposeful process of opening up one’s mind to new trains of thought that branch out in many directions from a stated purpose or problem,"quá trình có chủ đích nhằm mở rộng tư duy sang các hướng suy nghĩ mới, phát triển theo nhiều hướng khác nhau từ một mục tiêu hoặc vấn đề đã xác định",Chương 4,approved,Source: glossary.md — Chương 4
incremental innovation,incremental innovation,đổi mới từng phần,đổi mới từng phần,innovation that modifies an existing product or service,sự đổi mới điều chỉnh hoặc cải tiến một sản phẩm hoặc dịch vụ đã tồn tại,Chương 4,approved,Source: glossary.md — Chương 4
invention,invention,phát minh,phát minh,"truly novel product, service, or process that, though based on ideas and products that have come before, represents a leap, a creation truly novel and different","sản phẩm, dịch vụ hoặc quy trình thực sự mới, mặc dù dựa trên các ý tưởng và sản phẩm trước đó, nhưng đại diện cho một bước nhảy vọt, một sự sáng tạo thực sự mới và khác biệt",Chương 4,approved,Source: glossary.md — Chương 4
iterative development,iterative development,phát triển lặp lại,phát triển lặp lại,process in which inventors and innovators continuously engage with potential customers in order to develop their products and their consumer bases at the same time,quá trình trong đó các nhà phát minh và nhà đổi mới liên tục tương tác với khách hàng tiềm năng nhằm phát triển sản phẩm và đồng thời xây dựng tệp khách hàng,Chương 4,approved,Source: glossary.md — Chương 4
lateral thinking,lateral thinking,tư duy sáng tạo/đa chiều,tư duy sáng tạo/đa chiều,free and open thinking in which established patterns of logical thought are purposefully ignored or even challenged,"kiểu tư duy tự do và mở, trong đó các khuôn mẫu logic đã thiết lập bị cố ý bỏ qua hoặc thậm chí bị thách thức",Chương 4,approved,Source: glossary.md — Chương 4
linear thinking,linear thinking,tư duy tuyến tính,tư duy tuyến tính,"logical, step-by-step process",quá trình tư duy logic theo từng bước,Chương 4,approved,Source: glossary.md — Chương 4
minimum viable product (mvp),minimum viable product (MVP),sản phẩm khả dụng tối thiểu (minimum viable product MVP),sản phẩm khả dụng tối thiểu (minimum viable product MVP),early version or prototype of a product that may not be polished or complete but that functions well enough that you can begin to market it or test it with potential users,phiên bản ban đầu hoặc nguyên mẫu của một sản phẩm có thể chưa hoàn thiện nhưng vẫn hoạt động đủ tốt để có thể bắt đầu tiếp thị hoặc thử nghiệm với người dùng tiềm năng,Chương 4,approved,Source: glossary.md — Chương 4
open innovation,open innovation,đổi mới sáng tạo mở,đổi mới sáng tạo mở,searching for and finding solutions outside of the organizational structure,việc tìm kiếm và phát hiện các giải pháp bên ngoài cấu trúc tổ chức,Chương 4,approved,Source: glossary.md — Chương 4
pain point,pain point,điểm đau/nỗi đau,điểm đau/nỗi đau,problem that people have with a product or service that might be addressed by creating a modified version that solves the problem,vấn đề mà khách hàng gặp phải với một sản phẩm hoặc dịch vụ và có thể được giải quyết bằng cách tạo ra một phiên bản cải tiến giải quyết vấn đề đó,Chương 4,approved,Source: glossary.md — Chương 4
pioneering innovation,pioneering innovation,đổi mới sáng tạo tiên phong,đổi mới sáng tạo tiên phong,"one based on a new technology, a new advancement in the field, and/or an advancement in a related field that leads to the development of a new product","sự đổi mới dựa trên công nghệ mới, một tiến bộ mới trong lĩnh vực hoặc một tiến bộ trong lĩnh vực liên quan dẫn đến việc phát triển một sản phẩm mới",Chương 4,approved,Source: glossary.md — Chương 4
scientific method,scientific method,phương pháp khoa học,phương pháp khoa học,"most often associated with the natural sciences, outlines the process to discover an answer to a question or a problem","phương pháp thường gắn với khoa học tự nhiên, mô tả quy trình để tìm ra câu trả lời cho một câu hỏi hoặc một vấn đề",Chương 4,approved,Source: glossary.md — Chương 4
user interface,user interface,giao diện người dùng,giao diện người dùng,what the user sees and interacts with,những gì người dùng nhìn thấy và tương tác,Chương 4,approved,Source: glossary.md — Chương 4
ideal screening,ideal screening,sàng lọc ý tưởng,sàng lọc ý tưởng,the process of evaluating and selecting ideas based on specific criteria to determine their feasibility and potential for development.,quá trình đánh giá và lựa chọn các ý tưởng dựa trên những tiêu chí cụ thể nhằm xác định tính khả thi và tiềm năng phát triển của chúng.,Chương 4 (bổ sung),approved,Source: glossary.md — Chương 4 (bổ sung)
creative capacity,creative capacity,năng lực sáng tạo,năng lực sáng tạo,"an individual’s or organization’s ability to generate original ideas, think creatively, and develop innovative solutions.","khả năng của cá nhân hoặc tổ chức trong việc tạo ra ý tưởng mới, tư duy sáng tạo và phát triển các giải pháp đổi mới.",Chương 4 (bổ sung),approved,Source: glossary.md — Chương 4 (bổ sung)
innovation pipeline,Innovation pipeline,chuỗi phát triển đổi mới,chuỗi phát triển đổi mới,"a structured sequence of stages through which ideas move from initial concept to development, testing, and eventual commercialization.",chuỗi các giai đoạn có cấu trúc mà trong đó các ý tưởng được phát triển từ giai đoạn ban đầu đến thử nghiệm và cuối cùng là thương mại hóa.,Chương 4 (bổ sung),approved,Source: glossary.md — Chương 4 (bổ sung)
concept development,concept development,phát triển khái niệm,phát triển khái niệm,the process of refining and elaborating an idea into a clear and structured concept that can be further developed into a product or service.,"quá trình làm rõ và hoàn thiện một ý tưởng thành một khái niệm cụ thể, có cấu trúc, để tiếp tục phát triển thành sản phẩm hoặc dịch vụ.",Chương 4 (bổ sung),approved,Source: glossary.md — Chương 4 (bổ sung)
